SKU,Inventory Quantity (Northwood),Inventory Quantity (Eastgate Mall),Inventory Quantity (Manukau),Inventory Quantity (Porirua),Inventory Quantity (Manners Street),Inventory Quantity (George Street),Inventory Quantity (Papanui),Inventory Quantity (Shirley),Inventory Quantity (Tower Junction),Inventory Quantity (Hornby),Inventory Quantity (Pakuranga),Inventory Quantity (New Plymouth Central),Inventory Quantity (Upper Hutt Central),Inventory Quantity (Whangaparaoa),Inventory Quantity (Westgate),Inventory Quantity (Pukekohe),Inventory Quantity (Te Awamutu),Inventory Quantity (Pine Hill),Inventory Quantity (Rolleston),Inventory Quantity (Rangiora),Inventory Quantity (Mount Roskill),Inventory Quantity (Whanganui),Inventory Quantity (Mt Wellington),Inventory Quantity (South Dunedin),Inventory Quantity (Lyall Bay),Inventory Quantity (South Island Dark Store),Inventory Quantity (Petone),Inventory Quantity (West City)
"=""2223783""",1,4,3,2,1,2,4,8,6,12,2,5,0,1,6,3,0,2,6,5,3,0,5,2,2,0,5,5
"=""2262622""",16,15,9,21,13,12,12,21,5,10,5,12,25,14,10,4,13,5,4,10,2,0,1,10,15,4,8,2
"=""2348616""",7,19,1,3,3,6,5,14,0,3,3,2,7,6,6,4,4,3,2,6,2,4,4,1,3,9,5,9
"=""2576376""",5,2,10,3,3,2,5,14,5,5,2,4,4,2,10,2,1,7,5,1,6,0,10,5,2,4,1,5
"=""416738""",7,7,2,9,5,8,4,12,4,5,1,5,10,6,7,2,2,2,8,3,2,0,5,3,5,5,15,2
"=""390542""",9,9,11,12,7,10,15,13,15,9,11,9,15,8,11,6,12,4,4,10,4,0,3,6,11,-3,14,3
"=""2057239""",23,11,8,7,24,10,18,11,11,13,6,4,10,21,13,9,13,11,6,17,4,6,6,3,6,21,11,2
"=""2452456""",12,2,11,5,6,7,6,7,6,5,2,7,7,125,6,5,3,6,3,7,3,0,9,4,2,2,7,2
"=""2271079""",66,31,22,25,30,46,34,38,41,38,11,27,61,37,95,20,25,2,18,41,24,0,21,13,16,29,4,0
"=""2118858""",11,5,3,4,5,5,7,8,9,7,8,7,17,9,6,8,8,5,5,13,8,0,6,9,4,15,6,8
"=""2114291""",6,4,1,3,6,1,6,6,3,4,3,3,3,1,2,1,3,2,6,2,2,0,6,7,0,4,2,2
"=""202223""",5,13,2,3,3,5,5,9,4,2,4,1,3,3,2,2,5,2,14,4,3,0,5,6,2,10,8,0
"=""2223791""",21,13,12,21,13,14,15,15,10,23,14,13,26,15,12,14,12,11,17,14,15,6,13,8,9,5,6,13
"=""377163""",10,21,3,4,10,4,7,2,0,6,4,5,3,5,8,6,12,3,5,2,3,0,4,4,5,13,3,4
"=""2459493""",34,10,19,19,19,23,15,18,18,28,6,19,40,5,27,4,12,4,8,23,3,0,3,20,4,16,28,14
"=""458406""",13,9,2,5,10,3,5,7,9,6,7,9,20,4,9,2,5,3,6,9,0,9,5,2,2,10,8,2
"=""2034980""",3,6,2,6,3,1,3,6,3,4,3,3,6,5,5,0,1,2,9,3,0,4,2,1,5,8,4,1
"=""2534436""",9,5,4,7,7,8,8,8,0,8,2,8,17,3,5,1,5,1,0,6,2,0,9,0,4,7,3,1
"=""253294""",7,10,2,3,2,1,5,4,0,4,2,2,5,2,2,4,1,3,3,8,2,5,6,12,3,7,2,4
"=""239852""",5,0,3,5,3,3,2,6,4,3,3,3,1,5,2,3,2,2,1,3,2,0,5,4,1,3,0,5
"=""2315777""",5,21,1,3,5,0,7,4,2,4,2,3,9,5,1,1,7,2,8,2,0,4,2,6,4,9,7,3
"=""208361""",17,4,9,9,1,11,11,13,6,6,1,17,22,5,13,1,10,1,1,11,11,12,2,18,5,6,6,6
"=""2151634""",5,7,10,8,12,0,0,6,15,8,10,10,1,7,9,2,3,5,10,0,3,0,8,10,14,10,6,8
"=""2242966""",2,2,2,3,4,3,3,8,3,1,2,7,6,4,4,4,8,2,3,2,0,0,1,3,2,6,6,2
"=""2375931""",4,7,4,2,9,5,4,7,0,0,2,5,6,1,4,7,1,3,1,1,2,0,6,5,2,1,3,3
"=""2207257""",5,4,3,2,8,4,4,7,2,1,9,6,18,3,5,3,2,3,1,4,3,0,20,4,2,4,5,0
"=""414212""",15,8,19,7,4,3,1,12,0,2,6,7,5,9,16,1,10,3,4,7,2,0,12,0,8,5,9,8
"=""213845""",62,74,34,32,34,64,49,98,27,41,21,77,96,61,51,30,64,3,6,51,10,36,33,24,19,14,26,22
"=""2320738""",10,8,3,4,6,6,6,17,10,4,4,6,23,5,10,7,13,0,4,15,5,1,1,1,0,3,6,3
"=""2254980""",18,7,1,6,12,4,6,9,0,2,2,5,8,5,4,2,46,1,5,3,1,0,3,4,0,2,7,2
"=""2571218""",13,3,9,4,6,4,7,8,6,4,4,5,6,3,4,3,11,1,2,11,2,0,8,7,3,3,5,5
"=""2348705""",2,3,3,2,5,6,4,3,2,3,4,4,5,2,2,0,1,1,3,0,2,6,4,2,2,10,6,4
"=""2431386""",6,4,5,1,5,8,5,2,6,0,2,3,4,13,8,2,2,1,11,6,2,0,6,1,3,2,3,7
"=""2157330""",4,8,3,6,2,1,4,5,3,3,5,7,4,2,4,1,2,3,0,2,0,3,6,3,3,-2,4,1
"=""2424304""",9,8,9,12,5,4,13,9,8,14,14,9,4,12,7,15,15,13,17,14,9,0,16,12,12,15,4,4
"=""2320711""",13,8,7,8,4,4,5,4,8,3,13,7,20,10,7,3,14,0,4,4,4,0,4,6,2,2,3,6
"=""949728""",2,0,0,1,0,3,1,0,1,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,-4,0,0
"=""2528444""",8,6,3,6,6,5,2,7,3,4,2,6,4,5,5,2,4,1,5,8,2,9,6,2,3,5,1,5
"=""486655""",0,0,0,0,3,7,0,0,0,0,0,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
"=""317187""",31,11,10,7,11,4,5,15,6,14,3,10,22,7,13,2,11,1,6,6,3,6,4,7,7,2,2,4
"=""2214067""",2,2,4,6,4,5,5,3,6,3,2,0,11,5,6,3,3,2,2,8,2,0,1,15,2,4,2,0
"=""2311186""",41,26,7,49,18,44,29,48,25,31,1,30,89,11,14,14,19,3,10,47,5,39,27,49,14,2,23,6
"=""202215""",5,11,1,6,5,1,8,4,3,5,9,6,7,2,0,2,5,3,4,4,3,1,3,2,4,15,18,3
"=""2100991""",26,9,9,10,13,12,14,15,8,24,8,17,1,12,11,6,29,9,1,21,4,0,3,10,8,-1,22,0
"=""2395312""",9,6,21,4,9,8,3,12,3,3,6,13,6,16,20,1,4,6,6,5,15,0,21,2,6,10,2,7
"=""2243067""",27,22,16,31,18,26,19,21,14,17,19,25,33,27,18,20,19,22,7,16,20,0,20,17,19,6,15,20
"=""2523388""",1,2,0,0,8,0,0,0,0,0,0,1,4,0,5,0,0,0,2,-5,1,0,0,0,2,-3,11,1
"=""2533812""",0,1,2,0,1,5,9,4,0,4,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,-1,0,0
"=""2560976""",15,3,3,6,2,5,4,14,9,5,7,6,12,14,8,1,5,7,4,6,2,0,6,6,2,0,9,5
"=""2319950""",18,22,12,14,19,15,16,28,15,18,8,16,36,17,8,6,12,9,9,15,10,0,8,16,11,14,8,8
"=""2114356""",7,7,2,6,7,5,4,15,5,6,3,8,7,4,9,2,2,3,5,7,0,6,3,0,2,9,6,2
"=""2090651""",25,33,18,36,42,37,16,35,29,19,10,27,73,13,7,10,22,5,12,35,8,0,9,28,18,5,16,3
"=""2398605""",3,8,1,0,4,2,0,10,2,2,3,4,2,2,3,2,5,1,2,8,2,0,6,6,3,9,2,4
"=""2490579""",28,12,8,18,6,10,23,21,11,13,3,0,24,12,2,4,10,4,3,14,2,9,2,8,3,0,3,2
"=""2396432""",9,9,5,3,3,8,5,12,3,6,2,12,8,5,0,4,2,3,5,3,3,1,3,7,2,8,2,1
"=""2424312""",4,6,9,2,10,1,10,7,2,3,12,6,2,15,5,7,6,7,7,9,5,0,4,9,7,6,3,9
"=""2456842""",1,2,4,3,7,2,3,13,0,2,2,11,2,4,3,2,6,2,8,6,4,0,5,2,2,4,4,2
"=""2522888""",11,5,4,5,12,17,7,10,8,14,5,8,14,10,7,8,7,2,16,10,-1,9,5,4,6,4,1,1
"=""383872""",6,11,4,4,3,0,1,2,2,2,3,4,9,3,19,4,2,3,3,1,3,0,4,2,6,13,4,3
"=""2384345""",7,2,5,7,7,10,6,13,7,11,2,3,8,2,7,4,4,2,0,7,5,0,4,7,2,5,3,4
"=""2225697""",6,27,1,3,9,6,5,10,0,3,3,2,6,3,1,0,3,2,0,4,0,6,0,2,1,11,11,1
"=""2364387""",20,17,5,8,13,16,11,10,9,8,3,9,12,6,5,6,12,8,4,8,4,0,7,8,10,14,22,1
"=""258040""",17,5,4,2,7,6,4,5,4,5,2,6,9,1,5,3,6,2,0,5,3,9,3,0,7,5,2,3
"=""616249""",45,41,5,18,7,19,26,32,17,22,4,20,44,21,19,8,42,3,6,26,7,10,12,13,3,7,18,0
"=""2348721""",2,13,6,7,4,7,8,9,5,8,6,11,11,10,1,1,7,3,4,5,8,0,6,11,2,5,8,0
"=""2114305""",11,10,3,1,8,3,5,9,7,12,5,6,7,3,9,1,2,3,3,15,1,0,1,2,0,1,3,6
"=""2120909""",5,10,14,1,12,3,4,13,0,14,13,30,1,12,2,5,5,11,12,7,2,0,5,4,11,-3,6,0
"=""2271095""",9,2,3,5,7,8,7,16,5,1,1,6,8,11,2,6,8,6,11,6,0,0,9,3,4,15,5,3
"=""2397897""",25,19,6,15,12,14,25,17,24,19,5,14,32,11,16,9,18,4,3,21,3,0,6,14,13,6,12,4
"=""2473046""",4,4,2,8,1,5,6,9,4,4,3,6,7,1,2,4,3,2,2,3,0,5,8,5,3,0,5,2
"=""2271060""",100,41,15,32,31,23,51,52,22,35,9,45,113,74,38,25,49,16,17,54,25,0,13,31,16,37,42,5
"=""2509423""",29,23,35,10,19,16,21,28,22,34,20,21,35,16,22,14,21,19,17,27,12,0,33,13,34,6,14,20
"=""2207273""",21,26,22,26,33,22,27,27,29,25,20,21,28,27,21,21,19,22,20,20,18,0,17,16,19,0,16,20
"=""2335107""",6,12,7,4,6,4,10,6,2,10,2,7,3,2,2,2,3,1,3,2,2,0,8,2,2,6,2,2
"=""2459485""",18,11,2,17,12,23,17,18,7,10,3,20,22,10,5,4,14,1,4,10,4,0,5,9,10,19,13,3
"=""949752""",-6,1,0,-2,1,1,4,0,0,3,0,0,2,0,1,10,0,0,0,0,0,0,1,0,0,0,0,0
"=""2536102""",15,9,3,9,16,5,8,0,10,11,2,5,15,6,9,5,6,2,1,5,5,13,2,3,7,-1,11,2
"=""2481324""",2,5,1,4,3,2,4,3,4,5,5,6,3,2,2,2,6,3,5,2,2,0,2,0,4,14,8,5
"=""2383535""",41,21,8,18,14,20,23,27,19,26,1,26,35,14,10,11,20,5,4,22,3,3,5,18,6,21,8,5
"=""2423235""",6,5,1,3,8,2,3,6,2,8,3,1,6,1,6,4,7,2,2,2,1,7,7,5,2,16,5,3
"=""2493462""",5,6,4,5,5,8,2,6,9,1,4,5,8,4,4,3,9,2,2,8,2,22,5,10,4,2,4,4
"=""2482711""",7,0,1,2,2,0,3,9,3,0,3,3,6,3,12,4,2,2,4,0,1,-4,2,21,0,9,4,4
"=""208388""",23,8,3,9,7,6,9,8,5,6,3,12,13,6,7,4,6,3,2,4,4,2,2,6,2,9,4,2
"=""2245477""",2,13,-2,0,0,0,1,0,0,0,0,6,-3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
"=""2371642""",17,17,9,27,19,8,13,12,11,11,3,11,44,13,13,5,13,5,5,17,2,0,8,6,7,1,16,6
"=""424544""",4,13,2,9,5,4,8,9,4,6,2,3,5,3,6,6,3,3,8,2,1,3,3,5,5,3,9,3
"=""2165953""",7,8,2,5,3,7,5,7,0,2,4,3,3,4,3,5,5,2,5,2,3,1,5,2,1,18,3,1
"=""2389088""",0,0,0,0,3,1,0,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"=""2043688""",5,7,2,-1,3,7,7,6,7,2,3,5,5,5,2,3,8,1,0,3,2,1,6,1,4,1,1,4
"=""2431394""",10,7,3,8,6,4,10,12,2,7,2,6,5,9,2,3,6,2,3,6,1,0,2,1,2,5,5,3
"=""2027925""",0,3,1,0,1,0,0,5,1,0,0,0,-1,3,1,0,0,0,0,0,0,1,3,4,0,-1,0,0
"=""200182""",0,2,1,1,4,3,6,12,2,3,2,4,4,3,3,1,1,2,4,3,0,6,3,3,5,-3,6,3
"=""2482738""",5,23,2,2,0,2,3,5,16,5,2,5,5,6,2,3,1,2,10,-2,4,0,6,3,3,11,6,1
"=""799890""",0,5,1,0,1,0,0,0,4,0,2,7,-2,0,2,1,0,1,1,8,4,5,0,1,0,0,0,4
"=""742589""",7,5,3,8,8,1,10,4,7,7,6,7,6,4,5,2,2,1,3,2,1,0,3,2,7,4,9,6
"=""270423""",19,29,7,18,22,13,9,15,8,7,6,10,19,11,12,15,0,4,5,16,6,0,8,11,0,15,13,6
"=""270415""",8,10,3,9,17,1,4,11,3,3,3,4,11,6,1,5,0,3,0,7,4,0,1,4,2,7,6,4
"=""2555611""",3,7,8,2,33,2,2,5,3,4,1,4,6,7,3,2,1,2,2,3,3,1,5,4,4,7,2,13
"=""2468778""",28,16,9,17,26,21,25,40,14,17,7,20,59,23,40,4,26,2,12,30,5,8,4,12,6,11,18,9
"=""2184362""",64,50,27,34,-19,50,36,45,45,42,-3,36,41,28,29,7,36,11,23,28,20,0,15,19,19,33,73,12
"=""2452421""",6,14,10,5,11,14,8,8,23,5,4,4,13,5,4,5,8,2,3,7,3,0,2,9,5,6,4,3
"=""2506084""",5,9,12,20,6,7,7,12,8,7,1,5,2,3,1,4,7,0,8,3,6,0,10,12,4,2,2,7
"=""2167921""",5,1,2,3,4,6,8,2,4,2,1,2,7,4,4,2,2,4,0,5,3,0,5,6,1,2,4,6
"=""2566443""",23,18,8,19,16,17,15,18,11,19,10,20,49,23,26,6,17,8,3,22,12,12,6,16,10,16,10,9
"=""2151642""",20,26,11,9,10,16,14,23,12,20,10,9,32,12,11,0,19,6,3,0,7,1,9,5,7,15,13,12
"=""2523396""",27,34,22,25,13,16,19,16,13,21,4,13,41,12,16,9,13,2,4,19,11,16,7,8,5,-2,14,4
"=""2208156""",17,22,11,3,5,8,19,35,19,7,4,15,33,21,4,10,12,3,0,18,2,9,8,5,3,3,4,5
"=""2401142""",19,2,2,3,4,7,11,4,8,5,2,8,6,8,6,2,2,0,2,4,3,0,5,3,1,3,13,0
"=""2536641""",5,6,3,6,11,2,1,3,5,4,2,3,10,10,1,3,2,1,6,1,3,0,4,6,2,6,5,2
"=""2295814""",2,10,6,3,0,2,2,4,3,2,1,6,5,2,3,3,4,8,5,4,3,3,4,11,2,10,2,1
"=""2295156""",4,7,3,3,6,1,3,1,3,3,3,2,3,2,5,3,2,2,1,6,3,2,3,8,0,7,2,6
"=""2351226""",19,17,19,25,14,15,20,14,26,23,22,14,20,15,13,14,11,13,29,11,15,13,13,15,17,2,14,11
"=""2396033""",20,20,18,22,12,6,12,6,4,11,11,25,2,7,9,16,9,0,7,7,2,14,8,15,9,7,8,6
"=""2569728""",6,1,2,3,6,4,4,9,6,4,4,3,3,3,4,4,3,5,2,3,2,7,5,17,2,1,2,2
"=""2480468""",4,11,5,2,4,0,6,2,1,2,3,2,1,0,3,3,2,2,0,3,1,5,3,5,2,-1,4,2
"=""2349795""",15,4,1,2,6,6,3,12,5,7,4,0,6,4,3,5,7,2,2,3,3,3,2,1,2,16,1,4
"=""2451646""",8,3,8,3,12,1,1,11,2,6,4,4,10,3,1,4,7,0,1,2,3,1,8,0,2,5,2,6
"=""2475979""",56,38,48,22,5,28,38,7,51,14,38,17,26,8,12,25,7,5,28,37,25,8,17,4,13,13,8,44
"=""2295369""",24,20,17,24,24,22,19,19,15,22,18,15,24,20,18,26,18,23,20,29,18,21,20,28,20,18,20,20
"=""2351218""",66,35,37,50,49,27,46,51,19,32,45,60,17,54,49,33,29,30,16,35,14,33,20,38,41,14,17,10
"=""2490005""",15,13,7,6,13,5,9,7,13,6,12,13,4,8,9,4,13,8,6,4,11,12,7,7,9,2,1,6
"=""2479664""",3,14,4,3,2,4,2,11,4,2,3,3,3,4,4,2,4,3,2,3,3,4,2,4,3,0,3,3
"=""2497034""",5,1,2,4,5,8,2,4,2,1,4,6,6,4,3,5,2,2,2,12,1,3,1,5,2,5,3,4
"=""2461110""",5,10,6,3,3,9,4,9,5,4,3,6,21,9,10,2,13,5,3,15,5,3,5,14,4,12,2,8
"=""2351145""",4,16,5,3,3,0,0,1,5,2,1,4,1,2,1,3,5,3,2,1,1,2,3,4,1,-2,2,9
"=""2424495""",5,8,8,6,7,7,5,5,2,0,5,4,3,4,4,3,3,2,3,2,7,4,3,4,3,-1,4,3
"=""2366770""",4,1,0,1,2,0,0,9,2,1,4,0,1,3,0,0,0,1,0,0,0,0,3,0,3,-1,0,2
"=""2425513""",10,32,14,8,14,5,12,12,10,6,19,16,13,15,11,19,17,14,11,8,13,22,16,12,19,17,8,5
"=""2323095""",11,63,10,17,17,8,15,4,16,10,20,7,5,7,7,6,15,9,19,5,18,25,12,9,24,7,2,3
"=""2470675""",1,8,2,1,1,6,3,3,5,5,4,2,1,2,2,3,1,4,4,2,3,2,4,13,4,11,2,7
"=""2396025""",2,5,1,4,1,5,2,1,5,6,3,9,0,4,1,4,3,3,3,2,7,5,2,2,3,5,7,1
"=""2512947""",3,1,2,0,2,3,4,1,1,2,3,2,3,3,3,3,3,1,2,1,3,6,5,2,2,7,3,3
"=""2459078""",5,-1,4,3,2,7,2,1,5,1,3,1,5,5,5,6,2,0,1,2,14,3,5,11,3,3,2,1
"=""2346303""",22,12,3,8,2,2,0,9,5,12,1,8,7,1,3,3,6,0,4,6,2,4,6,3,2,9,7,6
"=""2393115""",5,11,1,2,3,1,7,5,1,2,3,1,2,5,5,4,5,3,7,1,3,2,5,8,2,5,11,4
"=""2569701""",5,2,4,1,3,2,5,3,2,4,8,4,3,0,4,9,6,4,1,6,3,2,7,3,5,6,2,8
"=""2545454""",30,2,1,0,5,15,3,10,4,1,7,5,11,7,7,3,10,3,5,9,3,2,6,2,0,15,0,2
"=""2507420""",12,2,4,6,3,15,4,4,6,4,4,3,3,4,3,3,1,3,6,5,3,5,6,9,3,9,3,2
"=""2496291""",22,3,2,5,5,5,3,5,10,11,4,5,1,10,7,2,6,0,3,13,4,8,7,11,8,10,9,8
"=""2295954""",14,3,3,1,6,5,5,3,4,4,7,4,17,5,7,1,7,0,2,10,4,10,4,7,2,10,4,5
"=""2295296""",26,31,16,10,19,13,14,9,8,3,13,2,6,15,4,8,13,12,10,8,10,9,10,26,9,0,3,0
"=""2491761""",16,17,20,2,7,4,7,3,2,3,3,5,6,8,6,4,10,2,1,23,6,2,2,1,1,18,4,5
"=""2295547""",14,31,15,6,34,4,14,6,29,22,14,9,14,7,10,7,5,22,11,14,12,6,32,12,7,18,0,6
"=""2553171""",11,12,12,12,10,14,13,12,12,14,12,9,12,25,15,14,15,25,12,18,24,13,14,15,10,12,13,12
"=""2295350""",2,3,6,2,8,1,0,1,1,1,4,1,2,3,3,3,2,2,6,5,2,9,4,3,1,0,2,2
"=""2443260""",5,7,4,2,3,4,4,12,8,7,11,1,4,4,2,3,1,4,5,4,1,2,5,5,5,4,1,2
"=""2479672""",5,1,6,4,3,6,4,3,3,3,35,2,1,2,3,6,3,2,8,7,1,3,4,3,3,5,3,5
"=""2443341""",10,5,0,3,3,6,1,5,2,3,5,3,1,3,8,5,7,2,7,5,2,3,3,19,3,0,5,6
"=""2479729""",3,2,3,1,3,14,3,7,4,6,8,3,3,7,3,3,2,4,5,6,3,6,2,4,6,0,3,2
"=""2522772""",9,13,1,6,3,15,2,4,4,1,10,3,13,5,9,2,1,2,2,0,5,6,3,3,2,10,3,5
"=""2295520""",1,1,6,3,2,-1,5,8,2,3,1,12,14,9,4,6,6,4,2,8,3,5,6,13,6,5,6,2
"=""2295598""",4,4,5,3,4,5,3,11,5,2,4,2,0,3,2,4,2,3,5,2,5,4,8,7,5,3,7,7
"=""2559870""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0
"=""2545446""",8,14,5,13,14,16,5,6,5,5,36,4,11,6,11,13,12,21,3,10,10,2,5,4,2,-2,5,9
"=""2506955""",18,14,3,4,3,10,1,4,2,1,6,2,5,3,1,3,1,2,8,3,3,9,2,1,1,6,6,2
"=""2480433""",21,12,6,6,4,0,3,9,4,3,2,5,12,3,4,5,1,1,3,8,6,4,0,12,2,22,2,1
"=""2549077""",7,10,2,3,2,0,3,14,6,3,2,1,3,7,2,0,2,2,2,2,3,6,5,18,5,-1,2,5
"=""2545438""",4,1,3,5,-1,9,3,3,3,3,6,4,10,3,6,2,0,0,3,2,3,3,9,8,2,16,5,4
"=""2295601""",0,0,0,1,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,2,5,0,0,0,0,2,1
"=""2295466""",28,3,2,2,4,3,10,2,5,4,4,3,3,4,1,3,4,1,3,3,4,3,4,2,4,5,1,3
"=""2496682""",43,7,14,9,13,-2,7,13,10,5,16,10,14,13,22,9,13,0,12,15,8,13,1,14,7,-4,2,8
"=""2295318""",8,13,1,3,4,7,8,5,3,0,6,3,1,5,7,6,6,4,2,3,4,3,4,2,0,3,9,9
"=""2424533""",3,6,11,6,2,6,2,5,4,8,3,16,6,4,6,3,3,3,5,5,0,4,5,9,4,7,4,5
"=""2443376""",13,9,3,3,6,11,0,0,11,6,5,3,2,3,6,3,5,4,6,2,3,10,4,3,4,0,5,5
"=""2295172""",19,5,0,4,4,10,6,4,4,5,4,4,19,5,11,2,10,9,3,13,4,2,4,7,3,5,6,1
